PG.ProteinGroups	PG.ProteinAccessions	PG.Organisms	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	[1] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_04_S4-C4_1_9528.htrms.PG.Quantity	[2] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_05_S4-C5_1_9527.htrms.PG.Quantity	[3] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_02_S4-C2_1_9526.htrms.PG.Quantity	[4] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_03_S4-C3_1_9524.htrms.PG.Quantity	[5] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_01_S4-C1_1_9529.htrms.PG.Quantity	[6] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_06_S4-C6_1_9525.htrms.PG.Quantity	[1] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_04_S4-C4_1_9528.htrms.PG.Log2Quantity	[2] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_05_S4-C5_1_9527.htrms.PG.Log2Quantity	[3] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_02_S4-C2_1_9526.htrms.PG.Log2Quantity	[4] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_03_S4-C3_1_9524.htrms.PG.Log2Quantity	[5] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_01_S4-C1_1_9529.htrms.PG.Log2Quantity	[6] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_06_S4-C6_1_9525.htrms.PG.Log2Quantity	[1] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_04_S4-C4_1_9528.htrms.PG.IBAQ	[2] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_05_S4-C5_1_9527.htrms.PG.IBAQ	[3] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_02_S4-C2_1_9526.htrms.PG.IBAQ	[4] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_03_S4-C3_1_9524.htrms.PG.IBAQ	[5] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_01_S4-C1_1_9529.htrms.PG.IBAQ	[6] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_06_S4-C6_1_9525.htrms.PG.IBAQ
LtaP01.0020	LtaP01.0020	Leishmania_tarentolae_Parrot-TarII	LtaP01.0020	22	1840.99755859375	647.5408325195312	17401.78515625	2610.616943359375	12598.09765625	6346.81591796875	10.846271998146744	9.3388273586605	14.086947691598423	11.350175070747197	13.620918279219321	12.631817284193936	36.5	7.1	397.5	66.8	319.1	189.1
LtaP01.0030	LtaP01.0030	Leishmania_tarentolae_Parrot-TarII	LtaP01.0030	6	NaN	NaN	289.1775817871094	39.92655944824219	137.5600128173828	154.70460510253906	NaN	NaN	8.175811902858374	5.319276852287391	7.103917345177581	7.273372332002607	NaN	NaN	4.4	2.1	0.9	6.5
LtaP01.0050	LtaP01.0050	Leishmania_tarentolae_Parrot-TarII	LtaP01.0050	6	NaN	14.959781646728516	183.98822021484375	7.020258903503418	294.5824890136719	29.798044204711914	NaN	3.903017212660979	7.523469590939327	2.8115242373550178	8.202527863991047	4.8971457373613925	NaN	0.3	13.5	0.1	16.8	0.6
LtaP01.0060	LtaP01.0060	Leishmania_tarentolae_Parrot-TarII	LtaP01.0060	3	191.7235107421875	90.0737075805664	956.6326293945312	135.0540771484375	1469.634521484375	597.62646484375	7.5828834529746905	6.493034141228749	9.901821190238447	7.077393383809267	10.521241705302215	9.223100226545517	13	6.1	66.1	9.4	101.4	43.4
LtaP01.0080	LtaP01.0080	Leishmania_tarentolae_Parrot-TarII	LtaP01.0080	3	NaN	52.678279876708984	185.1016387939453	165.56077575683594	NaN	96.18443298339844	NaN	5.71913633239793	7.532173857913692	7.371217103409166	NaN	6.587731514091052	NaN	5.1	14.9	0.4	NaN	10.3
LtaP01.0100	LtaP01.0100	Leishmania_tarentolae_Parrot-TarII	LtaP01.0100	7	114.24906921386719	115.85629272460938	927.5361328125	464.00433349609375	1000.10498046875	1267.115478515625	6.836038601482508	6.856192595963085	9.857259673787455	8.857994469015782	9.965935731514401	10.307332295084011	4.7	4	57.7	16	57.2	113.3
LtaP01.0110	LtaP01.0110	Leishmania_tarentolae_Parrot-TarII	LtaP01.0110	4	134.38690185546875	21.430246353149414	1482.57861328125	215.8820037841797	1213.4920654296875	611.2246704101562	7.070248721127864	4.421576529615968	10.533892889928515	7.754099173137709	10.244948959939213	9.255558964758489	14.1	1.5	142.9	15.6	106.6	59.6
LtaP01.0120	LtaP01.0120	Leishmania_tarentolae_Parrot-TarII	LtaP01.0120	7	NaN	NaN	61.9429931640625	NaN	82.92408752441406	125.53286743164062	NaN	NaN	5.952869192440088	NaN	6.373719326938398	6.971921334608666	NaN	NaN	2.1	NaN	1.7	39.3
LtaP01.0130	LtaP01.0130	Leishmania_tarentolae_Parrot-TarII	LtaP01.0130	2	NaN	27.11393165588379	109.42518615722656	NaN	110.76873016357422	84.40679168701172	NaN	4.760962421238157	6.773801028107447	NaN	6.791406858120464	6.399287183143937	NaN	1.6	5.9	NaN	2.2	7.2
LtaP01.0140	LtaP01.0140	Leishmania_tarentolae_Parrot-TarII	LtaP01.0140	1	NaN	NaN	126.21106719970703	NaN	NaN	NaN	NaN	NaN	6.979694612726516	NaN	NaN	NaN	NaN	NaN	21	NaN	NaN	NaN
