PG.ProteinGroups	PG.ProteinAccessions	PG.Organisms	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	[1] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_04_S4-C4_1_9528.htrms.PG.Quantity	[2] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_05_S4-C5_1_9527.htrms.PG.Quantity	[3] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_02_S4-C2_1_9526.htrms.PG.Quantity	[4] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_03_S4-C3_1_9524.htrms.PG.Quantity	[5] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_01_S4-C1_1_9529.htrms.PG.Quantity	[6] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_06_S4-C6_1_9525.htrms.PG.Quantity	[1] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_04_S4-C4_1_9528.htrms.PG.Log2Quantity	[2] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_05_S4-C5_1_9527.htrms.PG.Log2Quantity	[3] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_02_S4-C2_1_9526.htrms.PG.Log2Quantity	[4] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_03_S4-C3_1_9524.htrms.PG.Log2Quantity	[5] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_01_S4-C1_1_9529.htrms.PG.Log2Quantity	[6] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_06_S4-C6_1_9525.htrms.PG.Log2Quantity	[1] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_04_S4-C4_1_9528.htrms.PG.IBAQ	[2] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_05_S4-C5_1_9527.htrms.PG.IBAQ	[3] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_02_S4-C2_1_9526.htrms.PG.IBAQ	[4] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_03_S4-C3_1_9524.htrms.PG.IBAQ	[5] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_01_S4-C1_1_9529.htrms.PG.IBAQ	[6] ME20260327_CL_22_MitoEPI_Lta_IPMS_complexome_06_S4-C6_1_9525.htrms.PG.IBAQ
LtaP01.0150	LtaP01.0150	Leishmania_tarentolae_Parrot-TarII	LtaP01.0150	4	NaN	129.53521728515625	180.9590606689453	193.30506896972656	NaN	141.41973876953125	NaN	7.017200572592785	7.4995195354232544	7.594735659096266	NaN	7.1438396892535225	NaN	37.6	19.8	4.2	NaN	26.3
LtaP01.0180	LtaP01.0180	Leishmania_tarentolae_Parrot-TarII	LtaP01.0180	4	NaN	85.13793182373047	233.08157348632812	NaN	NaN	NaN	NaN	6.4117301393893165	7.864691144946462	NaN	NaN	NaN	NaN	2.7	5.1	NaN	NaN	NaN
LtaP01.0200	LtaP01.0200	Leishmania_tarentolae_Parrot-TarII	LtaP01.0200	7	464.0541687011719	184.43006896972656	1530.475830078125	312.159912109375	1581.09765625	1025.26806640625	8.858149409686284	7.526930077738345	10.579764546056383	8.28614146663432	10.62671076294441	10.001785450502355	13.2	0.7	74.3	9.6	81.6	54.5
LtaP01.0210	LtaP01.0210	Leishmania_tarentolae_Parrot-TarII	LtaP01.0210	1	NaN	NaN	NaN	NaN	150.24012756347656	86.1780776977539	NaN	NaN	NaN	NaN	7.231126382819924	6.429249012703863	NaN	NaN	NaN	NaN	2.6	1.5
LtaP01.0230	LtaP01.0230	Leishmania_tarentolae_Parrot-TarII	LtaP01.0230	3	56.01411819458008	109.3367919921875	805.6548461914062	282.1375732421875	230.0719757080078	301.5194091796875	5.807718594954255	6.77263514149804	9.654018090143962	8.140254997210313	7.8459414542175026	8.236107062964818	5.2	16.3	142.6	40.2	32.9	52.1
LtaP01.0260	LtaP01.0260	Leishmania_tarentolae_Parrot-TarII	LtaP01.0260	9	191.64938354492188	165.2489013671875	4840.0400390625	1268.7486572265625	8435.1298828125	6467.326171875	7.5823255473803375	7.368496869995564	12.240803266855755	10.309190580092036	13.042194567738871	12.658953657484883	3	4.9	157.9	33	225.1	206.7
LtaP01.0270	LtaP01.0270	Leishmania_tarentolae_Parrot-TarII	LtaP01.0270	5	426.7185363769531	316.42755126953125	2169.404052734375	2007.614501953125	2118.714111328125	353.0750427246094	8.737140971413499	8.305731410158897	11.083083065467445	10.971266557181318	11.048973215460943	8.463831036898997	36.3	68.7	358.5	341.2	279	57.2
LtaP01.0280	LtaP01.0280	Leishmania_tarentolae_Parrot-TarII	LtaP01.0280	3	95.54218292236328	57.58156204223633	629.791015625	81.3200454711914	1188.3502197265625	173.1702423095703	6.578065934385371	5.847535020989494	9.298729366419671	6.345539116772467	10.214744361375322	7.4360472274555915	2.5	0.4	31.3	2.1	43.3	6.8
LtaP01.0290	LtaP01.0290	Leishmania_tarentolae_Parrot-TarII	LtaP01.0290	7	50.228431701660156	100.7576904296875	1131.796875	310.2923889160156	256.1571350097656	1168.3916015625	5.650432324873021	6.654746147846533	10.144399343781174	8.277484499571464	8.000885267004815	10.190308177839386	5	8	216.3	19.3	27.9	163.6
LtaP01.0300	LtaP01.0300	Leishmania_tarentolae_Parrot-TarII	LtaP01.0300	1	NaN	NaN	168.85858154296875	42.05133819580078	103.11833953857422	NaN	NaN	NaN	7.399671690025555	5.394079806847602	6.688157127799965	NaN	NaN	NaN	56.3	14	34.4	NaN
LtaP01.0310	LtaP01.0310	Leishmania_tarentolae_Parrot-TarII	LtaP01.0310	2	NaN	NaN	306.1877746582031	48.510623931884766	152.96456909179688	134.6212615966797	NaN	NaN	8.25827287041749	5.600228830133291	7.257053712528895	7.072762471771195	NaN	NaN	7	1.1	8.6	6.7
LtaP01.0340	LtaP01.0340	Leishmania_tarentolae_Parrot-TarII	LtaP01.0340	9	148.69097900390625	2168.766357421875	1190.1171875	523.7218017578125	355.44873046875	790.2655639648438	7.216173312342509	11.08265892358984	10.216887923322291	9.03265685305577	8.473497671890485	9.626193733487268	4.5	322.4	96.1	51.2	11.3	68.3
LtaP01.0350	LtaP01.0350	Leishmania_tarentolae_Parrot-TarII	LtaP01.0350	2	152.774658203125	2993.444580078125	1260.73681640625	734.7538452148438	NaN	1009.41796875	7.25526144311709	11.547590845436769	10.300051423695361	9.521117193781132	NaN	9.97930795819805	22.9	539.1	223.4	133.7	NaN	168.2
LtaP01.0370	LtaP01.0370	Leishmania_tarentolae_Parrot-TarII	LtaP01.0370	23	1048.4581298828125	976.4443969726562	7887.0439453125	1799.919921875	15784.9794921875	2691.405517578125	10.034053533300634	9.931394082841475	12.945268965821235	10.81371700739276	13.94626476585517	11.394144064760637	8.4	29.8	262.4	30	618.2	76.9
LtaP01.0380	LtaP01.0380	Leishmania_tarentolae_Parrot-TarII	LtaP01.0380	1	NaN	117.84980010986328	444.0442810058594	NaN	281.9544982910156	159.03733825683594	NaN	6.880805501347502	8.794559742030584	NaN	8.139318549609756	7.313221706190242	NaN	5.9	22.2	NaN	14.1	8
LtaP01.0430	LtaP01.0430	Leishmania_tarentolae_Parrot-TarII	LtaP01.0430	3	NaN	12.32872486114502	281.8231506347656	103.98694610595703	568.701416015625	220.63658142089844	NaN	3.623951686871872	8.138646317866998	6.700258622273517	9.151527586250866	7.7855281985606615	NaN	0.6	18.6	5.9	46.1	15.8
LtaP01.0470	LtaP01.0470	Leishmania_tarentolae_Parrot-TarII	LtaP01.0470	35	421.6265563964844	198.9470672607422	4027.890869140625	731.1826171875	2468.322509765625	6300.20654296875	8.71982192860685	7.63624082175652	11.975808880449073	9.514087962583883	11.269315193266657	12.621183410676593	1.7	0.6	83.6	10.1	32.5	173
LtaP01.0480	LtaP01.0480	Leishmania_tarentolae_Parrot-TarII	LtaP01.0480	32	3211.11572265625	4833.2548828125	115778.6328125	8841.0888671875	17403.9765625	13993.77734375	11.648858942716716	12.238779362290042	16.821009499959114	13.110008347327607	14.087129358700507	13.772497821646812	52.1	111.5	2585.1	180.2	350.8	483.8
LtaP01.0500	LtaP01.0500	Leishmania_tarentolae_Parrot-TarII	LtaP01.0500	30	8797.8291015625	10473.455078125	163525.34375	15731.9052734375	48228.87890625	24943.78125	13.102931861731568	13.354449829630965	17.319154721590994	13.941405784065628	15.55760965419017	14.606392560720396	103.5	194.5	2931.1	242.4	815.5	661.5
LtaP01.0510	LtaP01.0510	Leishmania_tarentolae_Parrot-TarII	LtaP01.0510	38	27835.4921875	36628.0546875	487177.625	46834.0625	121681.3515625	111472.3828125	14.7646379727294	15.160661461234152	18.894088349383008	15.515270565875984	16.892748557280555	16.766326802388683	557.3	811.9	10520.9	1024	2493.9	2662.6
LtaP01.0520	LtaP01.0520	Leishmania_tarentolae_Parrot-TarII	LtaP01.0520	1	NaN	NaN	NaN	NaN	NaN	43.27599334716797	NaN	NaN	NaN	NaN	NaN	5.4354950301484966	NaN	NaN	NaN	NaN	NaN	0.5
LtaP01.0560	LtaP01.0560	Leishmania_tarentolae_Parrot-TarII	LtaP01.0560	16	661.29248046875	23094.51171875	13300.5	3920.4130859375	2500.920166015625	6665.853515625	9.36914468661286	14.495262423533116	13.699192860912127	11.936789960848234	11.288243289429412	12.7025738987494	2.9	1125.5	719.5	225.7	67.3	303.6
LtaP01.0600	LtaP01.0600	Leishmania_tarentolae_Parrot-TarII	LtaP01.0600	9	119.91922760009766	NaN	665.6345825195312	92.39968872070312	574.605224609375	426.91845703125	6.905919185802409	NaN	9.37858657928341	6.529816086335466	9.166427300438006	8.737816725964967	1.5	0	11.2	1.5	9.7	15
LtaP01.0610	LtaP01.0610	Leishmania_tarentolae_Parrot-TarII	LtaP01.0610	1	NaN	NaN	NaN	NaN	NaN	42.80975341796875	NaN	NaN	NaN	NaN	NaN	5.419867620595094	NaN	NaN	NaN	NaN	NaN	1.3
LtaP01.0620	LtaP01.0620	Leishmania_tarentolae_Parrot-TarII	LtaP01.0620	39	1878.7178955078125	2218.65673828125	27829.546875	2294.10205078125	9596.314453125	5456.89990234375	10.875532735503707	11.115470761441367	14.764329798225711	11.16371385425529	13.228264717463418	12.413865864799847	19.6	22.6	399.5	26.2	115.5	98.8
LtaP01.0630	LtaP01.0630	Leishmania_tarentolae_Parrot-TarII	LtaP01.0630	26	2738.677734375	1283.3768310546875	26066.931640625	3582.16259765625	15799.2314453125	13467.2255859375	11.419263795914345	10.32572912809918	14.669933151629694	11.80661510872755	13.947566759660408	13.717165048042549	53.1	30.9	840.4	74.7	398.9	816.4
LtaP01.0660	LtaP01.0660	Leishmania_tarentolae_Parrot-TarII	LtaP01.0660	1	NaN	NaN	97.48014831542969	23.67467498779297	124.40345001220703	116.53927612304688	NaN	NaN	6.607036541001675	4.565272715017438	6.958882685263215	6.864672444383873	NaN	NaN	2.7	0.7	3.5	3.2
LtaP01.0690	LtaP01.0690	Leishmania_tarentolae_Parrot-TarII	LtaP01.0690	2	NaN	99.99800109863281	356.16845703125	NaN	296.55780029296875	288.3150939941406	NaN	6.643827351435602	8.476415944003083	NaN	8.212169508944502	8.17150255716762	NaN	1.7	6.2	NaN	0.2	5.1
LtaP01.0710	LtaP01.0710	Leishmania_tarentolae_Parrot-TarII	LtaP01.0710	28	1914.6025390625	495.8952331542969	10183.66015625	1585.5125732421875	6878.61083984375	20287.55078125	10.902829212353703	8.953891547133146	13.313968559844644	10.630733602836875	12.747901521562445	14.30830708550031	21.2	4.2	228.5	39.2	151.9	394.3
LtaP01.0720	LtaP01.0720	Leishmania_tarentolae_Parrot-TarII	LtaP01.0720	14	NaN	186.27310180664062	2857.576416015625	343.3178405761719	2593.81494140625	1285.0885009765625	NaN	7.541275551161865	11.480576363515738	8.423401018937081	11.340859837251179	10.327652002465205	NaN	1.9	21.3	0.3	32.6	16.9
LtaP01.0740	LtaP01.0740	Leishmania_tarentolae_Parrot-TarII	LtaP01.0740	8	374.8688049316406	328.0547180175781	2798.4169921875	455.9434509277344	2856.053955078125	1056.0672607421875	8.550241965139495	8.35779265958366	11.450395239208037	8.832711092837666	11.479807518926991	10.04448600728365	11.2	7.4	87	11.1	93.7	42.8
LtaP01.0750	LtaP01.0750	Leishmania_tarentolae_Parrot-TarII	LtaP01.0750	6	NaN	4.091583251953125	364.31732177734375	NaN	945.4508056640625	239.11395263671875	NaN	2.0326592069211835	8.509051780650582	NaN	9.884858582618289	7.901554505572909	NaN	0	11.9	NaN	32.1	7
LtaP01.0760	LtaP01.0760	Leishmania_tarentolae_Parrot-TarII	LtaP01.0760	10	NaN	495.9676208496094	2788.61572265625	667.7205810546875	4194.69091796875	1818.4564208984375	NaN	8.954102127393941	11.445333426194026	9.38310069867108	12.034348795555651	10.828498636847117	NaN	1.2	102.6	6.8	101.3	67.4
LtaP01.0770	LtaP01.0770	Leishmania_tarentolae_Parrot-TarII	LtaP01.0770	2	NaN	61.938011169433594	171.31761169433594	88.25030517578125	45.75920486450195	59.99340057373047	NaN	5.952753153681968	7.420529659924193	6.463529362221038	5.515990078209818	5.906731904221894	NaN	1	1.5	1.4	0.4	1.1
LtaP02.0010	LtaP02.0010	Leishmania_tarentolae_Parrot-TarII	LtaP02.0010	8	187.81455993652344	1033.1124267578125	7552.3876953125	1921.8489990234375	1632.6226806640625	2413.40087890625	7.553165099060295	10.012781546319271	12.882717110769178	10.90827927170087	10.672975689380594	11.236851859550269	2.7	89.4	559.7	138.5	98.4	163.3
LtaP02.0040	LtaP02.0040	Leishmania_tarentolae_Parrot-TarII	LtaP02.0040	12	177.12387084960938	172.2919921875	2573.6015625	472.8439025878906	1710.408935546875	1468.2506103515625	7.46861484588281	7.428711839103952	11.329573001663075	8.885220182788768	10.7401255798043	10.519882522225668	0.2	1.7	47.8	7.2	29.4	23.6
LtaP02.0050	LtaP02.0050	Leishmania_tarentolae_Parrot-TarII	LtaP02.0050	11	421.6612854003906	123.03336334228516	3444.501220703125	477.883056640625	3882.91015625	1355.917236328125	8.719940757218518	6.942905778523523	11.750079373973291	8.900513807466083	11.922922610854622	10.405053405331765	13.1	2.1	131.5	18.9	145.7	51.7
LtaP02.0060	LtaP02.0060	Leishmania_tarentolae_Parrot-TarII	LtaP02.0060	1	NaN	NaN	144.4947967529297	52.93983840942383	169.1766815185547	87.70246887207031	NaN	NaN	7.17487373209306	5.726281886126441	7.402386917949359	6.454545550776963	NaN	NaN	6	2.2	7	3.7
LtaP02.0100	LtaP02.0100	Leishmania_tarentolae_Parrot-TarII	LtaP02.0100	2	NaN	NaN	176.05670166015625	NaN	96.48628234863281	275.58917236328125	NaN	NaN	7.4598963347142195	NaN	6.592251940953539	8.106375396813078	NaN	NaN	11.7	NaN	6.4	26
LtaP02.0170	LtaP02.0170	Leishmania_tarentolae_Parrot-TarII	LtaP02.0170	1	NaN	NaN	NaN	NaN	NaN	152.71133422851562	NaN	NaN	NaN	NaN	NaN	7.254663332645839	NaN	NaN	NaN	NaN	NaN	2.3
LtaP02.0190	LtaP02.0190	Leishmania_tarentolae_Parrot-TarII	LtaP02.0190	8	183.84568786621094	113.72562408447266	947.1131591796875	326.3607482910156	629.6644287109375	918.636962890625	7.522351528040215	6.82941354140674	9.887392996074865	8.350323743251023	9.298439358044075	9.843351023743066	10.7	9.8	178	35.8	43.8	150.2
LtaP02.0200	LtaP02.0200	Leishmania_tarentolae_Parrot-TarII	LtaP02.0200	6	141.53456115722656	521.25634765625	5910.5810546875	1454.4066162109375	2985.34326171875	3835.907958984375	7.145010575848614	9.025849237015832	12.529084249838151	10.506214952255727	11.543681110124492	11.90535238856613	11.1	62.2	571.1	127.9	352.9	316
LtaP02.0220	LtaP02.0220	Leishmania_tarentolae_Parrot-TarII	LtaP02.0220	2	NaN	NaN	700.14111328125	NaN	1576.9365234375	NaN	NaN	NaN	9.451501915994598	NaN	10.622908873030815	NaN	NaN	NaN	44.7	NaN	208.3	NaN
LtaP02.0280	LtaP02.0280	Leishmania_tarentolae_Parrot-TarII	LtaP02.0280	4	NaN	18.522600173950195	574.6104736328125	188.8119354248047	485.7523193359375	214.83670043945312	NaN	4.211214730999182	9.166440479408838	7.56080615486603	8.924077074080387	7.747096658979054	NaN	0.2	11.1	2.3	9.4	3.4
LtaP02.0290	LtaP02.0290	Leishmania_tarentolae_Parrot-TarII	LtaP02.0290	3	NaN	NaN	148.1400604248047	32.341697692871094	412.6682434082031	75.92080688476562	NaN	NaN	7.21081802054978	5.015323506191249	8.68883861081827	6.246423420260926	NaN	NaN	6.2	0.5	15.2	2.4
LtaP02.0330	LtaP02.0330	Leishmania_tarentolae_Parrot-TarII	LtaP02.0330	24	369.4455871582031	279.4012145996094	5513.21533203125	858.9525146484375	4515.97119140625	2546.485107421875	8.529218086168733	8.126194482150677	12.42867823515456	9.74643456703508	12.140820567463013	11.314291564626206	0.7	1.2	86.9	8.1	61.7	45.1
LtaP02.0380	LtaP02.0380	Leishmania_tarentolae_Parrot-TarII	LtaP02.0380	15	2652.556396484375	24671.63671875	16848.765625	5692.650390625	5150.49365234375	5947.671875	11.373167709530078	14.590565806889888	14.040355280041272	12.474884785199285	12.330494999609792	12.538109342716838	7.4	748.8	472.9	139.7	44	3256.6
LtaP02.0390	LtaP02.0390	Leishmania_tarentolae_Parrot-TarII	LtaP02.0390	18	9352.22265625	289265.75	87808.4296875	45629.7734375	11288.1953125	44784.1328125	13.191093562397764	18.142035988059238	16.422071825968146	15.47768787003241	13.462527234852532	15.450700050057442	251.4	14289.4	4588	2039.3	362.2	2070.4
LtaP02.0400	LtaP02.0400	Leishmania_tarentolae_Parrot-TarII	LtaP02.0400	11	123.11090087890625	267.5127868652344	2432.918212890625	414.8694152832031	5190.91943359375	852.962890625	6.943814700968821	8.063464042433061	11.248472106853606	8.696513493536072	12.341774381011216	9.736339166164857	0.4	1.2	25.9	2.5	41.7	7
LtaP02.0440	LtaP02.0440	Leishmania_tarentolae_Parrot-TarII	LtaP02.0440	3	NaN	63.781959533691406	1454.492919921875	281.8096008300781	991.2449951171875	349.2718200683594	NaN	5.99507651618579	10.506300558468158	8.13857695271396	9.95309786631609	8.448206437753278	NaN	3.8	108.6	20.8	71.3	29.1
LtaP02.0450	LtaP02.0450	Leishmania_tarentolae_Parrot-TarII	LtaP02.0450	13	NaN	31.688093185424805	1396.9283447265625	426.97601318359375	1644.713134765625	288.3254699707031	NaN	4.985868943793422	10.448042304436704	8.738011213641329	10.683620260634228	8.171554476407675	NaN	0.1	18.3	3.6	23.5	2.8
LtaP02.0460	LtaP02.0460	Leishmania_tarentolae_Parrot-TarII	LtaP02.0460	6	NaN	NaN	1018.6346435546875	79.04644012451172	582.420166015625	381.77301025390625	NaN	NaN	9.992420973606118	6.304628586814997	9.18591649879186	8.576571303650185	NaN	NaN	24.3	0.4	15.5	5.9
LtaP02.0470	LtaP02.0470	Leishmania_tarentolae_Parrot-TarII	LtaP02.0470	1	NaN	NaN	263.4891052246094	42.177127838134766	93.9006118774414	96.16458892822266	NaN	NaN	8.041599500163308	5.398388949270677	6.553062653721409	6.5874338372969605	NaN	NaN	13.2	2.1	4.7	4.8
LtaP02.0480	LtaP02.0480	Leishmania_tarentolae_Parrot-TarII	LtaP02.0480	6	145.86972045898438	NaN	1055.6038818359375	156.6748046875	272.39959716796875	267.0586853027344	7.188536630417007	NaN	10.043852845758307	7.291629384422837	8.0895807596291	8.061012994204834	11.6	NaN	83.5	2.1	10.5	28.3
LtaP02.0490	LtaP02.0490	Leishmania_tarentolae_Parrot-TarII	LtaP02.0490	30	6007.20068359375	4468.72705078125	57958.16015625	10440.4560546875	77971.84375	14818.2314453125	12.552477145694661	12.125648212476202	15.822724177764103	13.34989711190416	16.25066562896506	13.8550856519347	86.5	182.8	1667.1	275.1	1847.3	251.1
LtaP02.0500	LtaP02.0500	Leishmania_tarentolae_Parrot-TarII	LtaP02.0500	18	NaN	NaN	2579.14501953125	567.8062744140625	2639.276123046875	704.7728881835938	NaN	NaN	11.332677179571494	9.149254981098457	11.365926579059215	9.461014616252962	NaN	NaN	31.2	4.2	30.8	7.4
LtaP02.0520	LtaP02.0520	Leishmania_tarentolae_Parrot-TarII	LtaP02.0520	10	268.0021057128906	NaN	3209.538330078125	273.8082580566406	935.2652587890625	784.9663696289062	8.066100525866766	NaN	11.648150075215963	8.097022148706914	9.869231788214268	9.616487035614757	1	NaN	110.5	5.1	23.1	36.4
LtaP02.0550	LtaP02.0550	Leishmania_tarentolae_Parrot-TarII	LtaP02.0550	22	1865.781982421875	426.3293151855469	14330.5048828125	1739.09619140625	6125.22265625	22785.205078125	10.865564701047507	8.735824450844133	13.80680181811661	10.76412201663195	12.58054657273309	14.475809735138581	40	12.2	385.3	36.1	164.9	662.8
LtaP02.0570	LtaP02.0570	Leishmania_tarentolae_Parrot-TarII	LtaP02.0570	15	812.9920043945312	1284.850341796875	14433.9765625	3048.0615234375	16542.57421875	2604.52099609375	9.667097353542333	10.327384610056685	13.817181196818503	11.573676307789382	14.013896131812773	11.346802351943921	6	59.3	1033.8	147.5	973.1	185
LtaP02.0580	LtaP02.0580	Leishmania_tarentolae_Parrot-TarII	LtaP02.0580	3	NaN	NaN	325.4840087890625	NaN	592.37353515625	NaN	NaN	NaN	8.346442854494546	NaN	9.210363378085985	NaN	NaN	NaN	9.5	NaN	14.6	NaN
LtaP02.0590	LtaP02.0590	Leishmania_tarentolae_Parrot-TarII	LtaP02.0590	16	1408.794921875	8404.5146484375	37310.9453125	9019.380859375	11744.6259765625	12758.1328125	10.460245898632262	13.036948792462587	15.187311292381148	13.13881268690474	13.51971314906384	13.639129581751119	43.4	456.3	1780.2	442.9	581.9	596.5
LtaP02.0610	LtaP02.0610	Leishmania_tarentolae_Parrot-TarII	LtaP02.0610	1	NaN	NaN	44.589698791503906	NaN	117.7068099975586	NaN	NaN	NaN	5.478638549002707	NaN	6.87905398054609	NaN	NaN	NaN	1.3	NaN	3.5	NaN
LtaP03.0040	LtaP03.0040	Leishmania_tarentolae_Parrot-TarII	LtaP03.0040	13	363.9092102050781	222.58596801757812	4569.20654296875	646.0419921875	4979.03076171875	913.1296997070312	8.507434754691714	7.798218836769356	12.157727943181712	9.335484131708991	12.28164921343058	9.834675982990332	3	4.6	175.8	21.1	202.2	34.6
